x,y,B,G,R
0,0,8.0,109.0,150.0
0,1,10.0,110.0,149.0
0,2,11.0,112.0,151.0
0,3,6.0,112.0,143.0
0,4,10.0,113.0,152.0
0,5,7.0,111.0,152.0
0,6,7.0,113.0,149.0
0,7,10.0,110.0,151.0
0,8,4.0,113.0,153.0
0,9,5.0,111.0,150.0
0,10,12.0,114.0,149.0
0,11,10.0,114.0,149.0
0,12,10.0,113.0,150.0
0,13,10.0,115.0,154.0
0,14,11.0,110.0,151.0
0,15,10.0,115.0,149.0
0,16,6.0,114.0,151.0
0,17,6.0,112.0,155.0
0,18,7.0,115.0,159.0
0,19,12.0,112.0,153.0
0,20,8.0,110.0,149.0
0,21,9.0,112.0,151.0
0,22,4.0,112.0,150.0
0,23,10.0,110.0,155.0
0,24,11.0,111.0,151.0
0,25,7.0,115.0,150.0
0,26,5.0,107.0,153.0
0,27,15.0,115.0,151.0
0,28,8.0,114.0,151.0
0,29,7.0,108.0,156.0
0,30,8.0,114.0,150.0
0,31,6.0,115.0,154.0
0,32,12.0,109.0,153.0
0,33,12.0,112.0,152.0
0,34,9.0,113.0,153.0
0,35,13.0,123.0,152.0
0,36,7.0,114.0,149.0
0,37,6.0,112.0,150.0
0,38,4.0,113.0,159.0
0,39,9.0,112.0,158.0
0,40,9.0,113.0,152.0
0,41,8.0,116.0,152.0
0,42,10.0,115.0,152.0
0,43,9.0,113.0,148.0
0,44,12.0,117.0,152.0
0,45,8.0,113.0,153.0
0,46,4.0,113.0,150.0
0,47,8.0,110.0,155.0
0,48,3.0,112.0,153.0
0,49,5.0,111.0,153.0
0,50,10.0,110.0,151.0
0,51,5.0,112.0,155.0
0,52,7.0,114.0,153.0
0,53,11.0,114.0,153.0
0,54,8.0,106.0,152.0
0,55,9.0,114.0,151.0
0,56,7.0,112.0,150.0
0,57,10.0,115.0,150.0
0,58,5.0,117.0,155.0
0,59,11.0,109.0,154.0
0,60,10.0,107.0,147.0
0,61,6.0,110.0,147.0
0,62,5.0,108.0,156.0
0,63,5.0,110.0,152.0
0,64,7.0,112.0,149.0
0,65,10.0,117.0,148.0
0,66,7.0,114.0,152.0
0,67,8.0,115.0,147.0
0,68,12.0,117.0,152.0
0,69,8.0,112.0,154.0
0,70,11.0,110.0,149.0
0,71,10.0,114.0,154.0
0,72,11.0,116.0,152.0
0,73,7.0,116.0,154.0
0,74,7.0,110.0,152.0
0,75,16.0,113.0,155.0
0,76,9.0,116.0,150.0
0,77,9.0,116.0,149.0
0,78,11.0,112.0,149.0
0,79,6.0,113.0,157.0
0,80,13.0,111.0,150.0
0,81,12.0,111.0,151.0
0,82,10.0,109.0,147.0
0,83,9.0,107.0,153.0
0,84,4.0,115.0,148.0
0,85,10.0,115.0,149.0
0,86,9.0,109.0,151.0
0,87,11.0,107.0,153.0
0,88,11.0,116.0,154.0
0,89,11.0,105.0,151.0
0,90,11.0,116.0,150.0
0,91,8.0,113.0,154.0
0,92,17.0,114.0,149.0
0,93,11.0,116.0,149.0
0,94,6.0,113.0,154.0
0,95,13.0,110.0,150.0
0,96,7.0,115.0,155.0
0,97,5.0,115.0,157.0
0,98,4.0,112.0,151.0
0,99,9.0,112.0,158.0
0,100,11.0,117.0,145.0
0,101,7.0,109.0,154.0
0,102,7.0,106.0,155.0
0,103,10.0,109.0,153.0
0,104,11.0,110.0,150.0
0,105,8.0,110.0,150.0
0,106,8.0,110.0,155.0
0,107,9.0,108.0,152.0
0,108,11.0,116.0,156.0
0,109,10.0,114.0,154.0
0,110,6.0,113.0,152.0
0,111,4.0,112.0,151.0
0,112,10.0,110.0,152.0
0,113,7.0,112.0,151.0
0,114,8.0,114.0,150.0
0,115,4.0,111.0,155.0
0,116,5.0,111.0,153.0
0,117,7.0,114.0,149.0
0,118,7.0,113.0,150.0
0,119,9.0,119.0,150.0
0,120,9.0,108.0,153.0
0,121,6.0,115.0,157.0
0,122,6.0,117.0,157.0
0,123,13.0,112.0,155.0
0,124,9.0,113.0,147.0
0,125,8.0,112.0,153.0
0,126,6.0,112.0,152.0
0,127,15.0,115.0,151.0
0,128,10.0,114.0,150.0
0,129,14.0,114.0,158.0
0,130,3.0,113.0,151.0
0,131,11.0,106.0,153.0
0,132,4.0,110.0,154.0
0,133,4.0,111.0,156.0
0,134,14.0,116.0,153.0
0,135,10.0,112.0,150.0
0,136,11.0,113.0,151.0
0,137,10.0,113.0,149.0
0,138,10.0,115.0,150.0
0,139,10.0,108.0,152.0
0,140,11.0,118.0,146.0
0,141,7.0,111.0,153.0
0,142,13.0,117.0,156.0
0,143,6.0,111.0,151.0
0,144,10.0,115.0,151.0
0,145,2.0,110.0,149.0
0,146,9.0,113.0,153.0
0,147,11.0,115.0,149.0
0,148,6.0,111.0,150.0
0,149,8.0,115.0,146.0
0,150,6.0,117.0,157.0
0,151,7.0,116.0,152.0
0,152,4.0,104.0,146.0
0,153,4.0,115.0,152.0
0,154,11.0,117.0,155.0
0,155,8.0,112.0,150.0
0,156,8.0,110.0,153.0
0,157,5.0,114.0,150.0
0,158,13.0,116.0,151.0
0,159,10.0,111.0,158.0
0,160,9.0,107.0,149.0
0,161,7.0,111.0,152.0
0,162,8.0,115.0,154.0
0,163,10.0,114.0,149.0
0,164,12.0,110.0,150.0
0,165,8.0,112.0,155.0
0,166,12.0,110.0,152.0
0,167,4.0,111.0,150.0
0,168,16.0,109.0,153.0
0,169,12.0,111.0,154.0
0,170,11.0,115.0,157.0
0,171,10.0,115.0,152.0
0,172,9.0,111.0,160.0
0,173,0.0,115.0,150.0
0,174,17.0,112.0,156.0
0,175,9.0,117.0,147.0
0,176,11.0,112.0,148.0
0,177,9.0,109.0,148.0
0,178,10.0,116.0,151.0
0,179,9.0,110.0,151.0
0,180,10.0,108.0,149.0
0,181,13.0,117.0,154.0
0,182,11.0,110.0,153.0
0,183,10.0,112.0,152.0
0,184,5.0,114.0,151.0
0,185,6.0,109.0,152.0
0,186,5.0,112.0,151.0
0,187,13.0,117.0,153.0
0,188,12.0,113.0,146.0
0,189,5.0,112.0,155.0
0,190,8.0,106.0,150.0
0,191,5.0,109.0,157.0
0,192,5.0,114.0,153.0
0,193,16.0,117.0,151.0
