x,y,B,G,R
0,0,100,145,231
0,1,100,145,231
0,2,100,145,231
0,3,100,145,231
0,4,100,145,231
0,5,100,145,231
0,6,100,145,231
0,7,100,145,231
0,8,100,145,231
0,9,100,145,231
0,10,100,145,231
0,11,100,145,231
0,12,100,145,231
0,13,100,145,231
0,14,100,145,231
0,15,100,145,231
0,16,100,145,231
0,17,100,145,231
0,18,100,145,231
0,19,100,145,231
0,20,100,145,231
0,21,100,145,231
0,22,100,145,231
0,23,100,145,231
0,24,100,145,231
0,25,100,145,231
0,26,100,145,231
0,27,100,145,231
0,28,100,145,231
0,29,100,145,231
0,30,100,145,231
0,31,100,145,231
0,32,100,145,231
0,33,100,145,231
0,34,100,145,231
0,35,100,145,231
0,36,100,145,231
0,37,100,145,231
0,38,100,145,231
0,39,100,145,231
0,40,100,145,231
0,41,100,145,231
0,42,100,145,231
0,43,100,145,231
0,44,100,145,231
0,45,100,145,231
0,46,100,145,231
0,47,100,145,231
0,48,100,145,231
0,49,100,145,231
0,50,100,145,231
0,51,100,145,231
0,52,100,145,231
0,53,100,145,231
0,54,100,145,231
0,55,100,145,231
0,56,100,145,231
0,57,100,145,231
0,58,100,145,231
0,59,100,145,231
0,60,100,145,231
0,61,100,145,231
0,62,100,145,231
0,63,100,145,231
0,64,100,145,231
0,65,100,145,231
0,66,100,145,231
0,67,100,145,231
0,68,100,145,231
0,69,100,145,231
0,70,100,145,231
0,71,100,145,231
0,72,100,145,231
0,73,100,145,231
0,74,100,145,231
0,75,100,145,231
0,76,100,145,231
0,77,100,145,231
0,78,100,145,231
0,79,100,145,231
0,80,100,145,231
0,81,100,145,231
0,82,100,145,231
0,83,100,145,231
0,84,100,145,231
0,85,100,145,231
0,86,100,145,231
0,87,100,145,231
0,88,100,145,231
0,89,100,145,231
0,90,100,145,231
0,91,100,145,231
0,92,100,145,231
0,93,100,145,231
0,94,100,145,231
0,95,100,145,231
0,96,100,145,231
0,97,100,145,231
0,98,100,145,231
0,99,100,145,231
0,100,100,145,231
0,101,100,145,231
0,102,100,145,231
0,103,100,145,231
0,104,100,145,231
0,105,100,145,231
0,106,100,145,231
0,107,100,145,231
0,108,100,145,231
0,109,100,145,231
0,110,100,145,231
0,111,100,145,231
0,112,100,145,231
0,113,100,145,231
0,114,100,145,231
0,115,100,145,231
0,116,100,145,231
0,117,100,145,231
0,118,100,145,231
0,119,100,145,231
0,120,100,145,231
0,121,100,145,231
0,122,100,145,231
0,123,100,145,231
0,124,100,145,231
0,125,100,145,231
0,126,100,145,231
0,127,100,145,231
0,128,100,145,231
0,129,100,145,231
0,130,100,145,231
0,131,100,145,231
0,132,100,145,231
0,133,100,145,231
0,134,100,145,231
0,135,100,145,231
0,136,100,145,231
0,137,100,145,231
0,138,100,145,231
0,139,100,145,231
0,140,100,145,231
0,141,100,145,231
0,142,100,145,231
0,143,100,145,231
0,144,100,145,231
0,145,100,145,231
0,146,100,145,231
0,147,100,145,231
0,148,100,145,231
0,149,100,145,231
0,150,100,145,231
0,151,100,145,231
0,152,100,145,231
0,153,100,145,231
0,154,100,145,231
0,155,100,145,231
0,156,100,145,231
0,157,100,145,231
0,158,100,145,231
0,159,100,145,231
0,160,100,145,231
0,161,100,145,231
0,162,100,145,231
0,163,100,145,231
0,164,100,145,231
0,165,100,145,231
0,166,100,145,231
0,167,100,145,231
0,168,100,145,231
0,169,100,145,231
0,170,100,145,231
0,171,100,145,231
0,172,100,145,231
0,173,100,145,231
0,174,100,145,231
0,175,100,145,231
0,176,100,145,231
0,177,100,145,231
0,178,100,145,231
0,179,100,145,231
0,180,100,145,231
0,181,100,145,231
0,182,100,145,231
0,183,100,145,231
0,184,100,145,231
0,185,100,145,231
0,186,100,145,231
0,187,100,145,231
0,188,100,145,231
0,189,100,145,231
0,190,100,145,231
0,191,100,145,231
0,192,100,145,231
0,193,100,145,231
0,194,100,145,231
0,195,100,145,231
0,196,100,145,231
0,197,100,145,231
0,198,100,145,231
0,199,100,145,231
0,200,100,145,231
0,201,100,145,231
0,202,100,145,231
0,203,100,145,231
0,204,100,145,231
0,205,100,145,231
0,206,100,145,231
0,207,100,145,231
0,208,100,145,231
0,209,100,145,231
0,210,100,145,231
0,211,100,145,231
0,212,100,145,231
0,213,100,145,231
0,214,100,145,231
0,215,100,145,231
0,216,100,145,231
0,217,100,145,231
0,218,100,145,231
0,219,100,145,231
0,220,100,145,231
0,221,100,145,231
0,222,100,145,231
0,223,100,145,231
0,224,100,145,231
0,225,100,145,231
0,226,100,145,231
0,227,100,145,231
0,228,100,145,231
0,229,100,145,231
0,230,100,145,231
0,231,100,145,231
0,232,100,145,231
0,233,100,145,231
0,234,100,145,231
0,235,100,145,231
0,236,100,145,231
0,237,100,145,231
0,238,100,145,231
0,239,100,145,231
0,240,100,145,231
0,241,100,145,231
0,242,100,145,231
0,243,100,145,231
0,244,100,145,231
0,245,100,145,231
0,246,100,145,231
0,247,100,145,231
0,248,100,145,231
0,249,100,145,231
0,250,100,145,231
0,251,100,145,231
0,252,100,145,231
0,253,100,145,231
0,254,100,145,231
0,255,100,145,231
0,256,100,145,231
0,257,100,145,231
0,258,100,145,231
0,259,100,145,231
0,260,100,145,231
0,261,100,145,231
0,262,100,145,231
0,263,100,145,231
0,264,100,145,231
0,265,100,145,231
0,266,100,145,231
0,267,100,145,231
0,268,100,145,231
0,269,100,145,231
0,270,100,145,231
0,271,100,145,231
0,272,100,145,231
0,273,100,145,231
0,274,100,145,231
0,275,100,145,231
0,276,100,145,231
0,277,100,145,231
0,278,100,145,231
0,279,100,145,231
0,280,100,145,231
0,281,100,145,231
0,282,100,145,231
0,283,100,145,231
0,284,100,145,231
0,285,100,145,231
0,286,100,145,231
0,287,100,145,231
0,288,100,145,231
0,289,100,145,231
0,290,100,145,231
0,291,100,145,231
0,292,100,145,231
0,293,100,145,231
0,294,100,145,231
0,295,100,145,231
0,296,100,145,231
0,297,100,145,231
0,298,100,145,231
0,299,100,145,231
1,0,100,145,231
1,1,100,145,231
1,2,100,145,231
1,3,100,145,231
1,4,100,145,231
1,5,100,145,231
1,6,100,145,231
1,7,100,145,231
1,8,100,145,231
1,9,100,145,231
1,10,100,145,231
1,11,100,145,231
1,12,100,145,231
1,13,100,145,231
1,14,100,145,231
1,15,100,145,231
1,16,100,145,231
1,17,100,145,231
1,18,100,145,231
1,19,100,145,231
1,20,100,145,231
1,21,100,145,231
1,22,100,145,231
1,23,100,145,231
1,24,100,145,231
1,25,100,145,231
1,26,100,145,231
1,27,100,145,231
1,28,100,145,231
1,29,100,145,231
1,30,100,145,231
1,31,100,145,231
1,32,100,145,231
1,33,100,145,231
1,34,100,145,231
1,35,100,145,231
1,36,100,145,231
1,37,100,145,231
1,38,100,145,231
1,39,100,145,231
1,40,100,145,231
1,41,100,145,231
1,42,100,145,231
1,43,100,145,231
1,44,100,145,231
1,45,100,145,231
1,46,100,145,231
1,47,100,145,231
1,48,100,145,231
1,49,100,145,231
1,50,100,145,231
1,51,100,145,231
1,52,100,145,231
1,53,100,145,231
1,54,100,145,231
1,55,100,145,231
1,56,100,145,231
1,57,100,145,231
1,58,100,145,231
1,59,100,145,231
1,60,100,145,231
1,61,100,145,231
1,62,100,145,231
1,63,100,145,231
1,64,100,145,231
1,65,100,145,231
1,66,100,145,231
1,67,100,145,231
1,68,100,145,231
1,69,100,145,231
1,70,100,145,231
1,71,100,145,231
1,72,100,145,231
1,73,100,145,231
1,74,100,145,231
1,75,100,145,231
1,76,100,145,231
1,77,100,145,231
1,78,100,145,231
1,79,100,145,231
1,80,100,145,231
1,81,100,145,231
1,82,100,145,231
1,83,100,145,231
1,84,100,145,231
1,85,100,145,231
1,86,100,145,231
1,87,100,145,231
1,88,100,145,231
1,89,100,145,231
1,90,100,145,231
1,91,100,145,231
1,92,100,145,231
1,93,100,145,231
1,94,100,145,231
1,95,100,145,231
1,96,100,145,231
1,97,100,145,231
1,98,100,145,231
1,99,100,145,231
1,100,100,145,231
1,101,100,145,231
1,102,100,145,231
1,103,100,145,231
1,104,100,145,231
1,105,100,145,231
1,106,100,145,231
1,107,100,145,231
1,108,100,145,231
1,109,100,145,231
1,110,100,145,231
1,111,100,145,231
1,112,100,145,231
1,113,100,145,231
1,114,100,145,231
1,115,100,145,231
1,116,100,145,231
1,117,100,145,231
1,118,100,145,231
1,119,100,145,231
1,120,100,145,231
1,121,100,145,231
1,122,100,145,231
1,123,100,145,231
1,124,100,145,231
1,125,100,145,231
1,126,100,145,231
1,127,100,145,231
1,128,100,145,231
1,129,100,145,231
1,130,100,145,231
1,131,100,145,231
1,132,100,145,231
1,133,100,145,231
1,134,100,145,231
1,135,100,145,231
1,136,100,145,231
1,137,100,145,231
1,138,100,145,231
1,139,100,145,231
1,140,100,145,231
1,141,100,145,231
1,142,100,145,231
1,143,100,145,231
1,144,100,145,231
1,145,100,145,231
1,146,100,145,231
1,147,100,145,231
1,148,100,145,231
1,149,100,145,231
1,150,100,145,231
1,151,100,145,231
1,152,100,145,231
1,153,100,145,231
1,154,100,145,231
1,155,100,145,231
1,156,100,145,231
1,157,100,145,231
1,158,100,145,231
1,159,100,145,231
1,160,100,145,231
1,161,100,145,231
1,162,100,145,231
1,163,100,145,231
1,164,100,145,231
1,165,100,145,231
1,166,100,145,231
1,167,100,145,231
1,168,100,145,231
1,169,100,145,231
1,170,100,145,231
1,171,100,145,231
1,172,100,145,231
1,173,100,145,231
1,174,100,145,231
1,175,100,145,231
1,176,100,145,231
1,177,100,145,231
1,178,100,145,231
1,179,100,145,231
1,180,100,145,231
1,181,100,145,231
1,182,100,145,231
1,183,100,145,231
1,184,100,145,231
1,185,100,145,231
1,186,100,145,231
1,187,100,145,231
1,188,100,145,231
1,189,100,145,231
1,190,100,145,231
1,191,100,145,231
1,192,100,145,231
1,193,100,145,231
1,194,100,145,231
1,195,100,145,231
1,196,100,145,231
1,197,100,145,231
1,198,100,145,231
1,199,100,145,231
1,200,100,145,231
1,201,100,145,231
1,202,100,145,231
1,203,100,145,231
1,204,100,145,231
1,205,100,145,231
1,206,100,145,231
1,207,100,145,231
1,208,100,145,231
1,209,100,145,231
1,210,100,145,231
1,211,100,145,231
1,212,100,145,231
1,213,100,145,231
1,214,100,145,231
1,215,100,145,231
1,216,100,145,231
1,217,100,145,231
1,218,100,145,231
1,219,100,145,231
1,220,100,145,231
1,221,100,145,231
1,222,100,145,231
1,223,100,145,231
1,224,100,145,231
1,225,100,145,231
1,226,100,145,231
1,227,100,145,231
1,228,100,145,231
1,229,100,145,231
1,230,100,145,231
1,231,100,145,231
1,232,100,145,231
1,233,100,145,231
1,234,100,145,231
1,235,100,145,231
1,236,100,145,231
1,237,100,145,231
1,238,100,145,231
1,239,100,145,231
1,240,100,145,231
1,241,100,145,231
1,242,100,145,231
1,243,100,145,231
1,244,100,145,231
1,245,100,145,231
1,246,100,145,231
1,247,100,145,231
1,248,100,145,231
1,249,100,145,231
1,250,100,145,231
1,251,100,145,231
1,252,100,145,231
1,253,100,145,231
1,254,100,145,231
1,255,100,145,231
1,256,100,145,231
1,257,100,145,231
1,258,100,145,231
1,259,100,145,231
1,260,100,145,231
1,261,100,145,231
1,262,100,145,231
1,263,100,145,231
1,264,100,145,231
1,265,100,145,231
1,266,100,145,231
